Date,Time,UpTime,Fix,Satellites,Latitude,Longitude,Elevation,Yaw,Pitch,Roll,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ
00/00/2000,0:00:00,0:00:00,0,0,, ,,4.73,5.56,14.19,0,-0.05,0,-0.19,0.83,9.9,-25.74,32.26,-124.6
00/00/2000,0:00:00,0:00:01,0,0,, ,,5.47,6.45,16.2,0,-0.04,0,-0.23,0.81,9.89,-26.54,32.51,-124.04
00/00/2000,0:00:00,0:00:01,0,0,, ,,6.06,7.09,17.76,0,-0.05,0,-0.18,0.82,9.86,-25.87,32.23,-124.66
00/00/2000,0:00:00,0:00:01,0,0,, ,,6.66,7.76,19.48,0.03,-0.04,-0.01,-0.24,1.04,9.76,-25.43,32.75,-124.26
00/00/2000,0:00:00,0:00:01,0,0,, ,,7.28,8.31,20.88,0,-0.05,0,-0.2,0.82,9.94,-25.46,32.68,-125.42
00/00/2000,0:00:00,0:00:01,0,0,, ,,7.94,8.87,22.31,0,-0.05,0,-0.22,0.81,9.93,-25.71,32.94,-124.71
00/00/2000,0:00:00,0:00:01,0,0,, ,,8.63,9.41,23.72,0,-0.05,0,-0.22,0.8,9.92,-26.05,32.48,-125.67
00/00/2000,0:00:00,0:00:02,0,0,, ,,9.81,10.26,25.99,0,-0.05,0,-0.22,0.81,9.93,-25.87,32.39,-124.79
00/00/2000,0:00:00,0:00:02,0,0,, ,,10.66,10.78,27.46,0,-0.04,0,-0.19,0.82,9.95,-25.84,32.53,-125.45
00/00/2000,0:00:00,0:00:02,0,0,, ,,11.54,11.29,28.89,0,-0.04,0,-0.24,0.81,9.9,-25.91,32.52,-125.43
00/00/2000,0:00:00,0:00:02,0,0,, ,,12.43,11.77,30.29,0,-0.04,0,-0.23,0.8,9.89,-26.05,33.09,-125.05
00/00/2000,0:00:00,0:00:02,0,0,, ,,13.39,12.2,31.7,0,-0.04,0,-0.23,0.81,9.92,-26.32,32.26,-125.2
00/00/2000,0:00:00,0:00:02,0,0,, ,,14.36,12.58,33.08,0,-0.05,0,-0.21,0.82,9.94,-25.59,32.42,-125.27
00/00/2000,0:00:00,0:00:03,0,0,, ,,15.97,13.13,35.25,0,-0.04,0,-0.21,0.82,9.94,-25.39,32.2,-125.01
00/00/2000,0:00:00,0:00:03,0,0,, ,,17.09,13.41,36.64,0,-0.05,0,-0.2,0.83,9.96,-25.37,32.1,-124.86
00/00/2000,0:00:00,0:00:03,0,0,, ,,18.23,13.66,37.95,0,-0.04,0,-0.23,0.81,9.91,-25.84,32.49,-125.04
00/00/2000,0:00:00,0:00:03,0,0,, ,,19.42,13.84,39.24,0,-0.04,0,-0.22,0.81,9.91,-25.45,32.07,-125.84
00/00/2000,0:00:00,0:00:03,0,0,, ,,20.62,13.98,40.48,0,-0.04,0,-0.22,0.82,9.93,-25.49,32.17,-125.29
00/00/2000,0:00:00,0:00:03,0,0,, ,,21.88,14.04,41.69,0,-0.04,0,-0.2,0.82,9.94,-25.29,32.48,-125.08
00/00/2000,0:00:00,0:00:04,0,0,, ,,23.91,14.03,43.54,0,-0.05,0,-0.21,0.82,9.96,-25.81,32.01,-125.5
00/00/2000,0:00:00,0:00:04,0,0,, ,,25.29,13.94,44.64,0,-0.04,0,-0.23,0.8,9.93,-25.48,32.64,-125.93
00/00/2000,0:00:00,0:00:04,0,0,, ,,26.7,13.79,45.67,0,-0.04,0,-0.24,0.8,9.92,-25.84,32.23,-125.91
00/00/2000,0:00:00,0:00:04,0,0,, ,,28.09,13.57,46.61,0,-0.04,0,-0.23,0.81,9.91,-25.9,32.27,-126.15
00/00/2000,0:00:00,0:00:04,0,0,, ,,29.51,13.28,47.5,0,-0.04,0,-0.22,0.81,9.91,-25.75,32.21,-125.05
00/00/2000,0:00:00,0:00:04,0,0,, ,,30.92,12.89,48.32,0.01,-0.04,0,-0.2,0.83,9.9,-25.96,32.56,-125.62
00/00/2000,0:00:00,0:00:05,0,0,, ,,33.13,12.16,49.3,-0.01,-0.05,0,-0.1,0.64,9.89,-23.49,28.85,-126.21
00/00/2000,0:00:00,0:00:05,0,0,, ,,34.65,11.98,50.22,0.01,-0.04,0,-0.33,0.81,9.91,-19.41,22.33,-123.18
00/00/2000,0:00:00,0:00:05,0,0,, ,,36.1,11.66,51.01,0,-0.04,0,-0.24,0.79,9.93,-18.56,19.79,-121.44
00/00/2000,0:00:00,0:00:05,0,0,, ,,37.55,11.23,51.7,0,-0.05,0,-0.2,0.78,9.91,-18.59,18.88,-120.67
00/00/2000,0:00:00,0:00:05,0,0,, ,,39.03,10.78,52.37,0.01,-0.04,0,-0.25,0.86,9.93,-18.43,18.68,-121
00/00/2000,0:00:00,0:00:05,0,0,, ,,40.39,10.08,52.98,0.02,-0.05,0,-0.1,0.9,9.89,-18.55,18.69,-120.83
00/00/2000,0:00:00,0:00:06,0,0,, ,,42.6,8.9,53.08,0,-0.04,0,-0.26,0.89,9.96,-21.66,26.45,-124.86
00/00/2000,0:00:00,0:00:06,0,0,, ,,43.92,8.09,52.88,0,-0.04,0,-0.22,0.8,9.96,-24.19,29.92,-125.26
00/00/2000,0:00:00,0:00:06,0,0,, ,,45.1,7.34,52.42,-0.01,-0.05,0,-0.24,0.76,9.94,-25.42,31.92,-124.89
00/00/2000,0:00:00,0:00:06,0,0,, ,,46.3,6.76,52.24,0,-0.04,0,-0.2,0.8,9.92,-25.36,32.15,-123.95
00/00/2000,0:00:00,0:00:06,0,0,, ,,47.45,6.25,52.11,0.01,-0.04,0,-0.21,0.8,9.98,-25.49,32.51,-125.34
00/00/2000,0:00:00,0:00:06,0,0,, ,,48.58,5.96,52.04,0.02,-0.03,0,-0.26,0.75,9.96,-25.81,32.24,-124.85
00/00/2000,0:00:00,0:00:07,0,0,, ,,50.11,5.25,51.63,0,-0.05,0,-0.22,0.79,9.96,-26.28,32.45,-124.92
00/00/2000,0:00:00,0:00:07,0,0,, ,,50.96,4.96,51.41,0,-0.05,0,-0.21,0.77,9.94,-25.94,32.7,-124.45
00/00/2000,0:00:00,0:00:07,0,0,, ,,51.7,4.73,51.32,0,-0.04,0,-0.22,0.85,9.95,-25.91,32.61,-124.88
00/00/2000,0:00:00,0:00:07,0,0,, ,,52.38,4.55,51.24,0,-0.04,0,-0.21,0.82,9.96,-25.86,32.02,-124.79
00/00/2000,0:00:00,0:00:07,0,0,, ,,52.96,4.32,51.11,0,-0.05,0,-0.18,0.82,9.96,-25.74,32.67,-124.99
00/00/2000,0:00:00,0:00:07,0,0,, ,,53.48,4.26,50.96,0,-0.04,0,-0.24,0.79,9.92,-25.36,32.52,-124.39
